,fidelity
AD_0001_25,0.9991433131636265
AD_0001_35,0.9986073172105882
AD_0001_45,0.9982904738856891
AD_0001_55,0.9978618070142423
AD_0001_65,0.9967420726337778
AD_0001_75,0.9969063831778648
AD_0001_85,0.9960902495941936
AD_0001_95,0.9957827720320549
AD_0001_105,0.9945091752359858
AD_0001_115,0.9948546781367706
AD_0001_125,0.9944797422809948
AD_0001_135,0.9944802386797885
AD_0001_145,0.9937971619626199
AD_0001_155,0.9934207690003589
AD_0001_165,0.9925945987838921
AD_0001_175,0.9921582497271538
AD_0001_185,0.9908420086628545
AD_0001_195,0.9910613204148296
AD_0001_205,0.9909417391594642
AD_0001_215,0.9901731497875897
AD_0001_300,0.9865553262169692
AD_0001_500,0.97811064041337
AD_0001_700,0.9672832394229031
AD_0001_900,0.9592183885552796
AD_0005_25,0.9945824425669433
AD_0005_35,0.9924712607776762
AD_0005_45,0.9910255255286984
AD_0005_55,0.9892054238358835
AD_0005_65,0.9871346463616562
AD_0005_75,0.9841427897388809
AD_0005_85,0.9833423417883514
AD_0005_95,0.9813267901155082
AD_0005_105,0.9763660485075176
AD_0005_115,0.9762632491341069
AD_0005_125,0.9711642682404357
AD_0005_135,0.9715606249733548
AD_0005_145,0.9656673329825396
AD_0005_155,0.9648111510978967
AD_0005_165,0.9644311788646961
AD_0005_175,0.9598929323222708
AD_0005_185,0.9588001092046826
AD_0005_195,0.9576593002957529
AD_0005_205,0.9511965102859774
AD_0005_215,0.9528024944313331
AD_0005_300,0.9334619503041304
AD_0005_500,0.8913841372700023
AD_0005_700,0.8514587846419583
AD_0005_900,0.8064662579268993
AD_001_25,0.9905191457709474
AD_001_35,0.9883685000860717
AD_001_45,0.9829821795526907
AD_001_55,0.9766907879096587
AD_001_65,0.9734796461423215
AD_001_75,0.9697453488545542
AD_001_85,0.9625255843766088
AD_001_95,0.9592053012244903
AD_001_105,0.9564761556127691
AD_001_115,0.9519923422725587
AD_001_125,0.945709461026722
AD_001_135,0.9387919328671696
AD_001_145,0.9387246077407387
AD_001_155,0.9302406229759089
AD_001_165,0.9283130591501789
AD_001_175,0.9252981650595692
AD_001_185,0.9186564044800659
AD_001_195,0.9172516951177972
AD_001_205,0.9127187723991398
AD_001_215,0.9076985480282435
AD_001_300,0.8751607105808193
AD_001_500,0.7930104404045204
AD_001_700,0.7211733256415996
AD_001_900,0.6539952364769099
AD_003_25,0.969520498571863
AD_003_35,0.9616245284558246
AD_003_45,0.9442927604220007
AD_003_55,0.9364064644289938
AD_003_65,0.9206163556813189
AD_003_75,0.9083141315441526
AD_003_85,0.8981011426610381
AD_003_95,0.8853184728064497
AD_003_105,0.8742204770488466
AD_003_115,0.8638314125573818
AD_003_125,0.8441011258536366
AD_003_135,0.836955293545164
AD_003_145,0.8216381083542642
AD_003_155,0.8098601596235059
AD_003_165,0.8042343059328797
AD_003_175,0.7907545044454443
AD_003_185,0.7754963808840933
AD_003_195,0.7714057012728294
AD_003_205,0.7603271132809426
AD_003_215,0.750545509665841
AD_003_300,0.6633821616743992
AD_003_500,0.49564795027306396
AD_003_700,0.3746985642391042
AD_003_900,0.2807001971160222
